SMILES,CID,Unnamed: 0,MW,LogP,MR,TPSA,NumAromaticRings,FractionCSP3,NumValenceElectron,MaxCharge,MinCharge,BertzCT,BalabanJ,LabuteASA
Cc1cc2c(cc1)C(=O)C=C(C2=O)C,101211,-1.716516405813988,-0.8444515063339685,0.20790594175198962,-0.4078526149092381,-0.811015184325533,-0.07258942372018332,0.33066661914412415,-0.5548050724030335,-0.8788750083938349,0.9092341253533839,-0.2626050638358825,0.09956887277677556,-0.6114514112263513
c1cc(c2C(=O)C=CC(=O)c2c1O)O,10141,-1.6853070166173698,-0.7878601639498578,-0.8594766656471698,-0.7358030102959711,0.5300444083537852,-0.07258942372018332,-0.7662233789501038,-0.5548050724030335,-0.8458081097416463,-1.406246928626801,-0.4230701486375544,0.3902341142203103,-0.7296757159695257
Cc1c(c2c(c(c1CC(=O)C)O)C(=O)C(=CC2=O)OC)O,10149,-1.654097627420752,0.6486904003173908,-0.5161915872553171,0.6291508795398522,1.4017662889139944,-0.07258942372018332,0.9888006180006613,1.14639280153997,0.5789596717841616,-1.4031516049815966,0.7441447033339305,0.3481467778758784,0.8170763051059109
CC1=C(c2ccccc2C(=O)C1=O)O,10221,-1.6228882382241339,-0.8161558351419134,-0.27243778950246245,-0.5491003559141442,-0.14048538798587387,-0.07258942372018332,-0.16791974362597933,-0.5548050724030335,0.6391250566393698,-1.4033076317649575,-0.2545073688789277,0.2853700514507591,-0.6705635635979385
c1ccc(cc1)C1=C(C(=O)C(=C(C1=O)O)c1ccccc1)O,11056,-1.591678849027516,0.6776604612386686,0.835142056195419,1.1380825982953422,0.5300444083537852,0.9345888303973613,-0.7662233789501038,1.0613329078428198,0.5887382952128878,-1.36823385561241,0.8741944059371659,-1.0897558208759073,1.042790324259723
CC1=CC(=O)C=CC1=O,11122,-1.560469459830898,-1.7640177739228413,-1.184752585296278,-1.5339368521726935,-0.811015184325533,-1.0797676778377279,0.1739680479878058,-1.5755237967688356,-1.1456941093745774,0.9018135598305607,-1.2765230983629123,0.6628271658216911,-1.7172065135882368
C1=CC(=O)C(=O)C=C1,11421,-1.52926007063428,-1.9652872363016252,-1.5082043728443717,-1.785272582784961,-0.811015184325533,-1.0797676778377279,-0.7662233789501038,-1.830703477860286,0.35388797456593285,0.9482421967655011,-1.5087082533285157,0.5438210310126687,-1.9567452065480284
CC1=CC(=O)C(=CC1=O)OC,11958,-1.4980506814376622,-1.3331831779732184,-1.2062275950309502,-1.2099276971793598,-0.5050838931631477,-1.0797676778377279,0.8791116181912388,-1.0651644345859346,0.18957308631953054,-1.2506871098610368,-1.0705955934620237,0.7265701646300874,-1.2852242887546328
C1=C(C(=O)C=C(C1=O)Cl)Cl,12011,-1.466841292241044,-0.9768040778732787,-0.5687763408218388,-1.263112667681458,-0.811015184325533,-1.0797676778377279,-0.7662233789501038,-1.320344115677385,-0.5604760298299809,0.920107655533211,-1.219468019946254,0.8570366864529498,-1.1812374703121686
C1=C(C(=O)C(=CC1=O)Cl)Cl,12771,-1.4356319030444262,-0.9768040778732787,-0.5687763408218388,-1.263112667681458,-0.811015184325533,-1.0797676778377279,-0.7662233789501038,-1.320344115677385,0.02122789252946889,0.9029305497829115,-1.2029908892523402,0.8939876870664982,-1.1812374703121686
CC(C)(C)C1=CC(=O)C=C(C1=O)C(C)(C)C,12867,-1.4044225138478081,-0.3551315372713555,0.8404486223074621,0.2177920790320214,-0.811015184325533,-1.0797676778377279,2.9945423288015363,0.21073397087131807,-0.9909911236306644,0.9019414124150813,-0.7065747044941592,1.3132849844836387,-0.04043566286969397
c1cc2c(cc1O)C(=O)c1c(C2=O)ccc(c1O)O,1320,-1.3732131246511903,0.16000177483107042,-0.40692607440454076,0.19892420720394816,1.200574204693444,0.9345888303973613,-0.7662233789501038,0.46591365196276857,-0.5745027445009008,-1.41460380322549,0.8847457222231925,-0.6398783140997152,0.3169672340207723
Cc1c(c(c2c(c1)C(=O)c1ccccc1C2=O)O)C,1382,-1.3420037354545722,0.10341043244695933,0.5927314829896756,0.5334070452316749,-0.14048538798587387,0.9345888303973613,0.05644411962056746,0.46591365196276857,-0.5838976890162881,-1.4032043054921088,0.8689182925412389,-0.5662662204405785,0.4351915387639473
Cc1cccc2-c3c(C(=O)C(=O)c12)cc(cc3)C(C)C,138485,-1.3107943462579543,0.27638422363368775,1.736943217879752,0.9948805682003387,-0.811015184325533,0.9345888303973613,0.6962966185088673,0.7210933330542191,0.6522189764066069,0.9560271730592284,0.8572980602505801,-0.7196649024595858,0.7338423840953254
c1ccc(cc1)NC1=C(C(=O)c2ccccc2C1=O)Cl,14161,-1.2795849570613365,0.554605858732041,1.2922529776905853,0.9231162420868109,-0.41227700093620534,0.9345888303973613,-0.7662233789501038,0.6360334393570689,-0.1273993070607253,0.2533672330284918,0.8411229246013455,-1.3228458834525116,0.8254302115429273
