,SMILES,CID,MW,LogP,MR,TPSA,NumAromaticRings,FractionCSP3,NumValenceElectron,MaxCharge,MinCharge,BertzCT,BalabanJ,LabuteASA
0,Cc1cc2c(cc1)C(=O)C=C(C2=O)C,101211,186.20999999999998,2.3203200000000006,53.597000000000016,34.14,1,0.16666666666666666,70,0.18911709271342508,-0.28925137796178685,467.21011531271927,2.694662960879464,82.24866582025066
1,c1cc(c2C(=O)C=CC(=O)c2c1O)O,10141,190.15399999999997,1.033,47.57260000000001,74.60000000000001,1,0.0,70,0.19008501595770427,-0.5071545958265058,428.25549687033623,2.8251247189136746,79.10724909584948
2,Cc1c(c2c(c(c1CC(=O)C)O)C(=O)C(=CC2=O)OC)O,10149,290.271,1.44702,72.6466,100.9,1,0.26666666666666666,110,0.2317903439337116,-0.5068633038802973,711.6094068815321,2.80623430097721,120.20702699738318
3,CC1=C(c2ccccc2C(=O)C1=O)O,10221,188.18199999999996,1.7409999999999999,51.00230000000001,54.370000000000005,1,0.09090909090909091,70,0.23355148504086246,-0.5068779871091275,469.17591751636286,2.7780576877283063,80.67795745805007
4,c1ccc(cc1)C1=C(C(=O)C(=C(C1=O)O)c1ccccc1)O,11056,292.28999999999996,3.0768000000000004,81.99560000000004,74.60000000000001,2,0.0,108,0.23207658054190622,-0.5035772955862279,743.1803654468539,2.1608482204693362,126.20462449852249
5,CC1=CC(=O)C=CC1=O,11122,122.12299999999998,0.6407,32.91099999999999,34.14,0,0.14285714285714285,46,0.1813068528547244,-0.289949705898014,221.0706500473138,2.9474749819283015,52.86691069639898
6,C1=CC(=O)C(=O)C=C1,11421,108.09599999999998,0.25059999999999993,28.29399999999999,34.14,0,0.0,40,0.2252021201738014,-0.2855804413031663,164.70521621571416,2.894060443998222,46.50196858200238
7,CC1=CC(=O)C(=CC1=O)OC,11958,152.14899999999997,0.6148,38.86300000000001,43.370000000000005,0,0.25,58,0.22039234949080747,-0.4925153116823987,271.061758020246,2.9760852954477848,64.34539804030246
8,C1=C(C(=O)C=C(C1=O)Cl)Cl,12011,176.986,1.3836,37.886,34.14,0,0.0,52,0.19843716156984642,-0.2882281015192261,234.92138157977251,3.034643696573039,67.10850103576571
9,C1=C(C(=O)C(=CC1=O)Cl)Cl,12771,176.986,1.3836,37.886,34.14,0,0.0,52,0.21546460504624948,-0.28984458920767386,238.92138157977251,3.051228729159755,67.10850103576571
